Customer ID,Age,Gender,Category,Purchase Amount (USD),Previous Purchases,Frequency of Purchases,Subscription Status,Review Rating,Cluster,Segment
66,65,Male,Accessories,36,44,Every 3 Months,Yes,4.8,1,💎 Champions (High-Value Loyalists)
67,31,Male,Clothing,94,3,Every 3 Months,Yes,4.7,1,💎 Champions (High-Value Loyalists)
68,45,Male,Outerwear,33,49,Monthly,Yes,4.4,1,💎 Champions (High-Value Loyalists)
69,57,Male,Accessories,46,21,Every 3 Months,Yes,3.9,1,💎 Champions (High-Value Loyalists)
70,48,Male,Accessories,70,5,Weekly,Yes,4.4,1,💎 Champions (High-Value Loyalists)
71,22,Male,Accessories,29,32,Every 3 Months,Yes,4.2,1,💎 Champions (High-Value Loyalists)
72,36,Male,Clothing,48,34,Annually,Yes,2.9,1,💎 Champions (High-Value Loyalists)
73,18,Male,Clothing,26,21,Every 3 Months,Yes,2.9,1,💎 Champions (High-Value Loyalists)
74,48,Male,Clothing,85,43,Bi-Weekly,Yes,2.7,1,💎 Champions (High-Value Loyalists)
75,49,Male,Accessories,58,3,Monthly,Yes,4.5,1,💎 Champions (High-Value Loyalists)
76,64,Male,Accessories,85,21,Annually,Yes,2.7,1,💎 Champions (High-Value Loyalists)
77,50,Male,Accessories,43,32,Monthly,Yes,4.2,1,💎 Champions (High-Value Loyalists)
78,22,Male,Clothing,53,36,Fortnightly,Yes,3.3,1,💎 Champions (High-Value Loyalists)
79,50,Male,Clothing,91,50,Fortnightly,Yes,4.7,1,💎 Champions (High-Value Loyalists)
80,38,Male,Outerwear,96,43,Every 3 Months,Yes,2.6,1,💎 Champions (High-Value Loyalists)
81,19,Male,Footwear,72,24,Every 3 Months,Yes,3.3,1,💎 Champions (High-Value Loyalists)
82,67,Male,Footwear,96,36,Every 3 Months,Yes,2.6,1,💎 Champions (High-Value Loyalists)
83,19,Male,Clothing,28,21,Every 3 Months,Yes,4.0,1,💎 Champions (High-Value Loyalists)
84,36,Male,Clothing,40,34,Weekly,Yes,4.1,1,💎 Champions (High-Value Loyalists)
85,52,Male,Outerwear,32,42,Every 3 Months,Yes,4.4,1,💎 Champions (High-Value Loyalists)
86,53,Male,Accessories,95,2,Bi-Weekly,Yes,4.5,1,💎 Champions (High-Value Loyalists)
87,24,Male,Clothing,41,47,Bi-Weekly,Yes,3.7,1,💎 Champions (High-Value Loyalists)
88,52,Male,Footwear,53,44,Fortnightly,Yes,3.7,1,💎 Champions (High-Value Loyalists)
89,33,Male,Clothing,47,35,Monthly,Yes,3.5,1,💎 Champions (High-Value Loyalists)
90,47,Male,Outerwear,83,15,Quarterly,Yes,3.6,1,💎 Champions (High-Value Loyalists)
91,25,Male,Accessories,48,29,Monthly,Yes,2.9,1,💎 Champions (High-Value Loyalists)
92,44,Male,Accessories,99,18,Every 3 Months,Yes,4.6,1,💎 Champions (High-Value Loyalists)
93,61,Male,Outerwear,87,13,Every 3 Months,Yes,4.4,1,💎 Champions (High-Value Loyalists)
94,37,Male,Clothing,62,46,Weekly,Yes,4.5,1,💎 Champions (High-Value Loyalists)
95,58,Male,Clothing,76,28,Weekly,Yes,4.6,1,💎 Champions (High-Value Loyalists)
96,37,Male,Footwear,100,48,Monthly,Yes,3.8,1,💎 Champions (High-Value Loyalists)
97,32,Male,Accessories,73,43,Every 3 Months,Yes,3.6,1,💎 Champions (High-Value Loyalists)
98,21,Male,Footwear,92,37,Annually,Yes,4.8,1,💎 Champions (High-Value Loyalists)
99,20,Male,Clothing,67,20,Annually,Yes,2.6,1,💎 Champions (High-Value Loyalists)
100,26,Male,Clothing,40,33,Quarterly,Yes,3.7,1,💎 Champions (High-Value Loyalists)
101,62,Male,Accessories,98,31,Fortnightly,Yes,2.7,1,💎 Champions (High-Value Loyalists)
102,27,Male,Outerwear,85,50,Bi-Weekly,Yes,4.6,1,💎 Champions (High-Value Loyalists)
103,51,Male,Clothing,67,35,Quarterly,Yes,4.8,1,💎 Champions (High-Value Loyalists)
104,54,Male,Footwear,89,22,Bi-Weekly,Yes,4.0,1,💎 Champions (High-Value Loyalists)
105,55,Male,Accessories,24,1,Monthly,Yes,4.4,1,💎 Champions (High-Value Loyalists)
106,69,Male,Accessories,96,4,Annually,Yes,3.6,1,💎 Champions (High-Value Loyalists)
107,64,Male,Outerwear,35,31,Monthly,Yes,3.7,1,💎 Champions (High-Value Loyalists)
108,28,Male,Footwear,67,46,Fortnightly,Yes,3.1,1,💎 Champions (High-Value Loyalists)
109,70,Male,Clothing,79,32,Bi-Weekly,Yes,3.4,1,💎 Champions (High-Value Loyalists)
110,58,Male,Clothing,85,43,Fortnightly,Yes,2.6,1,💎 Champions (High-Value Loyalists)
111,56,Male,Accessories,26,26,Fortnightly,Yes,4.0,1,💎 Champions (High-Value Loyalists)
112,26,Male,Accessories,75,9,Annually,Yes,5.0,1,💎 Champions (High-Value Loyalists)
113,37,Male,Accessories,65,28,Bi-Weekly,Yes,4.3,1,💎 Champions (High-Value Loyalists)
114,44,Male,Accessories,54,20,Quarterly,Yes,3.1,1,💎 Champions (High-Value Loyalists)
115,70,Male,Outerwear,95,9,Weekly,Yes,3.7,1,💎 Champions (High-Value Loyalists)
116,53,Male,Clothing,94,48,Every 3 Months,Yes,3.8,1,💎 Champions (High-Value Loyalists)
117,55,Male,Footwear,86,12,Annually,Yes,3.4,1,💎 Champions (High-Value Loyalists)
118,50,Male,Footwear,32,29,Fortnightly,Yes,4.6,1,💎 Champions (High-Value Loyalists)
119,50,Male,Clothing,45,27,Bi-Weekly,Yes,4.8,1,💎 Champions (High-Value Loyalists)
120,38,Male,Outerwear,76,44,Annually,Yes,4.3,1,💎 Champions (High-Value Loyalists)
121,64,Male,Accessories,84,32,Annually,Yes,4.0,1,💎 Champions (High-Value Loyalists)
122,19,Male,Clothing,72,11,Fortnightly,Yes,4.2,1,💎 Champions (High-Value Loyalists)
123,40,Male,Accessories,40,44,Fortnightly,Yes,4.8,1,💎 Champions (High-Value Loyalists)
124,57,Male,Clothing,89,46,Weekly,Yes,3.1,1,💎 Champions (High-Value Loyalists)
125,44,Male,Clothing,86,50,Annually,Yes,3.1,1,💎 Champions (High-Value Loyalists)
126,49,Male,Clothing,54,45,Every 3 Months,Yes,3.6,1,💎 Champions (High-Value Loyalists)
127,43,Male,Clothing,36,48,Every 3 Months,Yes,3.9,1,💎 Champions (High-Value Loyalists)
128,24,Male,Clothing,89,26,Weekly,Yes,4.8,1,💎 Champions (High-Value Loyalists)
129,20,Male,Accessories,32,21,Fortnightly,Yes,4.7,1,💎 Champions (High-Value Loyalists)
130,24,Male,Clothing,67,49,Bi-Weekly,Yes,4.2,1,💎 Champions (High-Value Loyalists)
131,44,Male,Accessories,39,13,Fortnightly,Yes,3.7,1,💎 Champions (High-Value Loyalists)
132,28,Male,Clothing,29,46,Weekly,Yes,3.9,1,💎 Champions (High-Value Loyalists)
133,30,Male,Accessories,58,42,Weekly,Yes,4.7,1,💎 Champions (High-Value Loyalists)
134,52,Male,Clothing,65,25,Annually,Yes,2.5,1,💎 Champions (High-Value Loyalists)
135,43,Male,Accessories,94,25,Monthly,Yes,4.9,1,💎 Champions (High-Value Loyalists)
136,43,Male,Footwear,81,12,Quarterly,Yes,4.1,1,💎 Champions (High-Value Loyalists)
137,39,Male,Clothing,86,4,Quarterly,Yes,3.3,1,💎 Champions (High-Value Loyalists)
138,68,Male,Footwear,43,38,Weekly,Yes,4.7,1,💎 Champions (High-Value Loyalists)
139,68,Male,Clothing,29,42,Weekly,Yes,4.4,1,💎 Champions (High-Value Loyalists)
140,49,Male,Outerwear,95,30,Annually,Yes,3.8,1,💎 Champions (High-Value Loyalists)
141,63,Male,Clothing,28,50,Weekly,Yes,3.9,1,💎 Champions (High-Value Loyalists)
142,56,Male,Accessories,46,45,Weekly,Yes,4.9,1,💎 Champions (High-Value Loyalists)
143,37,Male,Outerwear,58,33,Fortnightly,Yes,3.1,1,💎 Champions (High-Value Loyalists)
144,30,Male,Outerwear,48,25,Quarterly,Yes,2.7,1,💎 Champions (High-Value Loyalists)
145,19,Male,Footwear,43,25,Monthly,Yes,3.2,1,💎 Champions (High-Value Loyalists)
146,24,Male,Accessories,95,44,Quarterly,Yes,4.5,1,💎 Champions (High-Value Loyalists)
147,52,Male,Clothing,30,21,Fortnightly,Yes,4.0,1,💎 Champions (High-Value Loyalists)
148,63,Male,Footwear,64,31,Fortnightly,Yes,3.5,1,💎 Champions (High-Value Loyalists)
149,37,Male,Accessories,90,47,Annually,Yes,2.6,1,💎 Champions (High-Value Loyalists)
150,38,Male,Clothing,76,14,Monthly,Yes,3.2,1,💎 Champions (High-Value Loyalists)
151,35,Male,Footwear,96,17,Every 3 Months,Yes,4.9,1,💎 Champions (High-Value Loyalists)
152,28,Male,Accessories,47,3,Annually,Yes,4.5,1,💎 Champions (High-Value Loyalists)
153,30,Male,Clothing,85,42,Annually,Yes,4.3,1,💎 Champions (High-Value Loyalists)
154,69,Male,Clothing,55,22,Annually,Yes,3.2,1,💎 Champions (High-Value Loyalists)
155,41,Male,Clothing,98,21,Quarterly,Yes,3.6,1,💎 Champions (High-Value Loyalists)
156,63,Male,Clothing,77,21,Quarterly,Yes,4.3,1,💎 Champions (High-Value Loyalists)
157,35,Male,Clothing,26,40,Annually,Yes,4.0,1,💎 Champions (High-Value Loyalists)
158,36,Male,Accessories,68,1,Fortnightly,Yes,3.0,1,💎 Champions (High-Value Loyalists)
159,25,Male,Clothing,73,50,Monthly,Yes,4.1,1,💎 Champions (High-Value Loyalists)
160,58,Male,Accessories,27,39,Every 3 Months,Yes,3.8,1,💎 Champions (High-Value Loyalists)
161,27,Male,Accessories,23,34,Monthly,Yes,4.6,1,💎 Champions (High-Value Loyalists)
162,65,Male,Accessories,49,29,Fortnightly,Yes,3.0,1,💎 Champions (High-Value Loyalists)
163,54,Male,Accessories,74,31,Bi-Weekly,Yes,3.0,1,💎 Champions (High-Value Loyalists)
164,54,Male,Clothing,67,8,Weekly,Yes,3.4,1,💎 Champions (High-Value Loyalists)
165,59,Male,Accessories,65,5,Fortnightly,Yes,2.6,1,💎 Champions (High-Value Loyalists)
166,42,Male,Accessories,60,7,Monthly,Yes,2.8,1,💎 Champions (High-Value Loyalists)
167,46,Male,Footwear,31,30,Monthly,Yes,4.0,1,💎 Champions (High-Value Loyalists)
168,33,Male,Accessories,27,14,Every 3 Months,Yes,4.0,1,💎 Champions (High-Value Loyalists)
169,34,Male,Footwear,80,5,Fortnightly,Yes,3.0,1,💎 Champions (High-Value Loyalists)
170,27,Male,Outerwear,30,3,Every 3 Months,Yes,3.3,1,💎 Champions (High-Value Loyalists)
171,52,Male,Clothing,25,46,Bi-Weekly,Yes,2.6,1,💎 Champions (High-Value Loyalists)
172,29,Male,Clothing,35,4,Weekly,Yes,3.6,1,💎 Champions (High-Value Loyalists)
173,54,Male,Accessories,67,42,Bi-Weekly,Yes,3.9,1,💎 Champions (High-Value Loyalists)
174,25,Male,Accessories,46,30,Annually,Yes,3.4,1,💎 Champions (High-Value Loyalists)
175,41,Male,Footwear,35,37,Annually,Yes,3.5,1,💎 Champions (High-Value Loyalists)
176,53,Male,Outerwear,86,2,Annually,Yes,2.8,1,💎 Champions (High-Value Loyalists)
177,53,Male,Accessories,81,30,Quarterly,Yes,2.7,1,💎 Champions (High-Value Loyalists)
178,21,Male,Clothing,42,47,Monthly,Yes,3.7,1,💎 Champions (High-Value Loyalists)
179,61,Male,Clothing,43,21,Quarterly,Yes,4.3,1,💎 Champions (High-Value Loyalists)
180,64,Male,Footwear,31,9,Fortnightly,Yes,4.9,1,💎 Champions (High-Value Loyalists)
181,51,Male,Footwear,81,12,Fortnightly,Yes,3.3,1,💎 Champions (High-Value Loyalists)
182,32,Male,Clothing,61,4,Weekly,Yes,4.7,1,💎 Champions (High-Value Loyalists)
183,38,Male,Accessories,96,10,Annually,Yes,2.8,1,💎 Champions (High-Value Loyalists)
184,58,Male,Clothing,29,26,Weekly,Yes,3.6,1,💎 Champions (High-Value Loyalists)
185,32,Male,Footwear,33,40,Fortnightly,Yes,3.0,1,💎 Champions (High-Value Loyalists)
186,46,Male,Clothing,32,34,Fortnightly,Yes,4.5,1,💎 Champions (High-Value Loyalists)
187,39,Male,Accessories,56,31,Annually,Yes,2.9,1,💎 Champions (High-Value Loyalists)
188,19,Male,Footwear,94,1,Bi-Weekly,Yes,3.3,1,💎 Champions (High-Value Loyalists)
189,50,Male,Clothing,53,5,Bi-Weekly,Yes,3.1,1,💎 Champions (High-Value Loyalists)
190,36,Male,Clothing,82,4,Weekly,Yes,4.4,1,💎 Champions (High-Value Loyalists)
191,65,Male,Outerwear,70,48,Quarterly,Yes,3.0,1,💎 Champions (High-Value Loyalists)
192,64,Male,Accessories,76,29,Every 3 Months,Yes,3.9,1,💎 Champions (High-Value Loyalists)
193,46,Male,Footwear,29,12,Bi-Weekly,Yes,2.9,1,💎 Champions (High-Value Loyalists)
194,36,Male,Accessories,100,29,Annually,Yes,3.0,1,💎 Champions (High-Value Loyalists)
195,51,Male,Accessories,94,15,Quarterly,Yes,3.1,1,💎 Champions (High-Value Loyalists)
196,51,Male,Outerwear,25,34,Monthly,Yes,4.3,1,💎 Champions (High-Value Loyalists)
197,38,Male,Footwear,88,41,Fortnightly,Yes,3.9,1,💎 Champions (High-Value Loyalists)
198,59,Male,Accessories,78,41,Monthly,Yes,3.2,1,💎 Champions (High-Value Loyalists)
199,57,Male,Accessories,45,39,Fortnightly,Yes,4.8,1,💎 Champions (High-Value Loyalists)
200,54,Male,Accessories,73,32,Weekly,Yes,3.8,1,💎 Champions (High-Value Loyalists)
201,25,Male,Clothing,61,29,Monthly,Yes,3.3,1,💎 Champions (High-Value Loyalists)
202,69,Male,Clothing,22,15,Annually,Yes,4.3,1,💎 Champions (High-Value Loyalists)
203,57,Male,Accessories,38,33,Annually,Yes,2.7,1,💎 Champions (High-Value Loyalists)
204,70,Male,Accessories,38,18,Weekly,Yes,3.2,1,💎 Champions (High-Value Loyalists)
205,24,Male,Footwear,100,35,Bi-Weekly,Yes,4.0,1,💎 Champions (High-Value Loyalists)
206,67,Male,Clothing,64,25,Weekly,Yes,3.0,1,💎 Champions (High-Value Loyalists)
207,24,Male,Clothing,55,6,Fortnightly,Yes,4.2,1,💎 Champions (High-Value Loyalists)
208,62,Male,Accessories,91,17,Bi-Weekly,Yes,2.9,1,💎 Champions (High-Value Loyalists)
209,57,Male,Clothing,38,17,Monthly,Yes,4.1,1,💎 Champions (High-Value Loyalists)
210,55,Male,Footwear,97,44,Every 3 Months,Yes,3.2,1,💎 Champions (High-Value Loyalists)
211,45,Male,Outerwear,22,6,Fortnightly,Yes,3.0,1,💎 Champions (High-Value Loyalists)
212,69,Male,Clothing,92,45,Fortnightly,Yes,4.2,1,💎 Champions (High-Value Loyalists)
213,67,Male,Accessories,84,7,Annually,Yes,4.2,1,💎 Champions (High-Value Loyalists)
214,30,Male,Accessories,93,11,Every 3 Months,Yes,4.4,1,💎 Champions (High-Value Loyalists)
215,24,Male,Outerwear,50,41,Every 3 Months,Yes,4.2,1,💎 Champions (High-Value Loyalists)
216,62,Male,Accessories,64,24,Bi-Weekly,Yes,2.8,1,💎 Champions (High-Value Loyalists)
217,43,Male,Clothing,61,21,Weekly,Yes,3.7,1,💎 Champions (High-Value Loyalists)
218,35,Male,Accessories,48,24,Annually,Yes,3.5,1,💎 Champions (High-Value Loyalists)
219,28,Male,Clothing,45,8,Quarterly,Yes,2.9,1,💎 Champions (High-Value Loyalists)
220,32,Male,Accessories,88,12,Fortnightly,Yes,3.0,1,💎 Champions (High-Value Loyalists)
221,39,Male,Footwear,57,48,Fortnightly,Yes,3.7,1,💎 Champions (High-Value Loyalists)
222,28,Male,Accessories,68,6,Quarterly,Yes,4.4,1,💎 Champions (High-Value Loyalists)
223,47,Male,Accessories,94,14,Fortnightly,Yes,4.5,1,💎 Champions (High-Value Loyalists)
224,20,Male,Clothing,41,34,Annually,Yes,4.8,1,💎 Champions (High-Value Loyalists)
225,63,Male,Clothing,83,12,Every 3 Months,Yes,2.9,1,💎 Champions (High-Value Loyalists)
226,25,Male,Outerwear,22,11,Annually,Yes,3.2,1,💎 Champions (High-Value Loyalists)
227,29,Male,Footwear,74,5,Monthly,Yes,3.3,1,💎 Champions (High-Value Loyalists)
228,50,Male,Clothing,90,25,Fortnightly,Yes,4.2,1,💎 Champions (High-Value Loyalists)
229,18,Male,Clothing,79,11,Annually,Yes,2.9,1,💎 Champions (High-Value Loyalists)
230,70,Male,Footwear,28,27,Every 3 Months,Yes,4.6,1,💎 Champions (High-Value Loyalists)
231,66,Male,Accessories,88,43,Annually,Yes,4.1,1,💎 Champions (High-Value Loyalists)
232,28,Male,Clothing,26,18,Every 3 Months,Yes,3.1,1,💎 Champions (High-Value Loyalists)
233,54,Male,Accessories,27,32,Bi-Weekly,Yes,4.2,1,💎 Champions (High-Value Loyalists)
234,19,Male,Clothing,83,27,Every 3 Months,Yes,4.5,1,💎 Champions (High-Value Loyalists)
235,20,Male,Accessories,39,24,Weekly,Yes,3.7,1,💎 Champions (High-Value Loyalists)
236,43,Male,Accessories,89,31,Quarterly,Yes,3.7,1,💎 Champions (High-Value Loyalists)
237,38,Male,Outerwear,68,39,Fortnightly,Yes,3.4,1,💎 Champions (High-Value Loyalists)
238,50,Male,Clothing,90,36,Fortnightly,Yes,3.0,1,💎 Champions (High-Value Loyalists)
239,64,Male,Clothing,34,5,Annually,Yes,4.2,1,💎 Champions (High-Value Loyalists)
240,49,Male,Clothing,51,47,Bi-Weekly,Yes,2.9,1,💎 Champions (High-Value Loyalists)
241,47,Male,Clothing,45,29,Fortnightly,Yes,3.5,1,💎 Champions (High-Value Loyalists)
242,36,Male,Clothing,88,43,Bi-Weekly,Yes,4.1,1,💎 Champions (High-Value Loyalists)
243,55,Male,Outerwear,85,40,Every 3 Months,Yes,4.3,1,💎 Champions (High-Value Loyalists)
244,25,Male,Accessories,100,4,Monthly,Yes,2.8,1,💎 Champions (High-Value Loyalists)
245,53,Male,Accessories,42,39,Weekly,Yes,4.9,1,💎 Champions (High-Value Loyalists)
246,49,Male,Footwear,53,45,Fortnightly,Yes,3.3,1,💎 Champions (High-Value Loyalists)
247,35,Male,Accessories,86,20,Bi-Weekly,Yes,3.2,1,💎 Champions (High-Value Loyalists)
248,29,Male,Clothing,66,14,Weekly,Yes,4.4,1,💎 Champions (High-Value Loyalists)
249,47,Male,Accessories,100,33,Weekly,Yes,4.8,1,💎 Champions (High-Value Loyalists)
250,53,Male,Accessories,47,18,Annually,Yes,4.2,1,💎 Champions (High-Value Loyalists)
251,33,Male,Clothing,25,9,Weekly,Yes,4.0,1,💎 Champions (High-Value Loyalists)
252,21,Male,Accessories,51,34,Annually,Yes,2.5,1,💎 Champions (High-Value Loyalists)
253,32,Male,Clothing,41,33,Fortnightly,Yes,3.9,1,💎 Champions (High-Value Loyalists)
254,52,Male,Footwear,73,15,Bi-Weekly,Yes,4.9,1,💎 Champions (High-Value Loyalists)
255,67,Male,Accessories,42,4,Bi-Weekly,Yes,3.5,1,💎 Champions (High-Value Loyalists)
256,43,Male,Accessories,20,25,Annually,Yes,4.2,1,💎 Champions (High-Value Loyalists)
257,58,Male,Accessories,30,20,Every 3 Months,Yes,4.7,1,💎 Champions (High-Value Loyalists)
258,20,Male,Accessories,53,5,Quarterly,Yes,4.5,1,💎 Champions (High-Value Loyalists)
259,61,Male,Accessories,74,16,Quarterly,Yes,2.8,1,💎 Champions (High-Value Loyalists)
260,32,Male,Clothing,57,13,Annually,Yes,2.9,1,💎 Champions (High-Value Loyalists)
261,38,Male,Accessories,57,11,Every 3 Months,Yes,3.2,1,💎 Champions (High-Value Loyalists)
262,21,Male,Clothing,77,21,Annually,Yes,4.9,1,💎 Champions (High-Value Loyalists)
263,37,Male,Clothing,40,6,Annually,Yes,3.7,1,💎 Champions (High-Value Loyalists)
264,27,Male,Clothing,46,29,Monthly,Yes,4.3,1,💎 Champions (High-Value Loyalists)
265,36,Male,Clothing,78,15,Annually,Yes,3.9,1,💎 Champions (High-Value Loyalists)
266,32,Male,Accessories,59,17,Bi-Weekly,Yes,3.2,1,💎 Champions (High-Value Loyalists)
267,51,Male,Accessories,75,32,Weekly,Yes,3.1,1,💎 Champions (High-Value Loyalists)
268,64,Male,Clothing,54,42,Annually,Yes,3.9,1,💎 Champions (High-Value Loyalists)
269,68,Male,Footwear,42,21,Monthly,Yes,2.6,1,💎 Champions (High-Value Loyalists)
270,68,Male,Clothing,44,9,Bi-Weekly,Yes,3.3,1,💎 Champions (High-Value Loyalists)
271,33,Male,Clothing,52,16,Annually,Yes,4.6,1,💎 Champions (High-Value Loyalists)
272,65,Male,Accessories,69,42,Fortnightly,Yes,4.6,1,💎 Champions (High-Value Loyalists)
273,48,Male,Accessories,26,37,Bi-Weekly,Yes,4.4,1,💎 Champions (High-Value Loyalists)
274,69,Male,Outerwear,33,32,Quarterly,Yes,4.2,1,💎 Champions (High-Value Loyalists)
275,59,Male,Accessories,32,28,Bi-Weekly,Yes,3.0,1,💎 Champions (High-Value Loyalists)
